Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,,,
CHEMBL2296935,CC(=O)NC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50=14nM,1.40E+01,-6.1,3.34E+04,
CHEMBL205118,O=C(Cc1c(-c2ccccc2)[nH]c2ccccc12)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50=280nM,2.80E+02,-6.1,3.34E+04,
CHEMBL2296936,NC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50=76913044.03nM,7.69E+07,-6.1,3.34E+04,
CHEMBL2017866,O=C(O)/C=C/c1ccc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCCC5)c5n(c4c3)CCOc3ncccc3-5)CCCC2)cc1,IC50=2800nM,2.80E+03,-6.1,3.34E+04,
CHEMBL180346,Cc1cccc(CNn2c(=O)c(C3=NS(=O)(=O)c4ccccc4N3)c(O)c3ccccc32)c1,IC50=8210nM,8.21E+03,-6.1,3.34E+04,
CHEMBL361772,Oc1ncnc2nc3c4ccccc4c4ccccc4c3nc12,IC50>100000nM,1.00E+05,-6.1,3.34E+04,
CHEMBL201567,N#CCCCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50=172nM,1.72E+02,-6.1,3.34E+04,
CHEMBL202804,O=C(NCc1csc2ccccc12)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50=220nM,2.20E+02,-6.1,3.34E+04,
CHEMBL180346,Cc1cccc(CNn2c(=O)c(C3=NS(=O)(=O)c4ccccc4N3)c(O)c3ccccc32)c1,IC50=212nM,2.12E+02,-6.1,3.34E+04,
CHEMBL201063,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1Cc1cccc([N+](=O)[O-])c1,IC50=81nM,8.10E+01,-6.1,3.34E+04,
CHEMBL377504,O=C(Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1)OCc1cccc2ccccc12,IC50=140nM,1.40E+02,-6.1,3.34E+04,
CHEMBL3944097,COc1ccc2c(c1)CC1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCOCCN(C)C1=O,IC50=410nM,4.10E+02,-6.1,3.34E+04,
CHEMBL3931793,CC1=C2Cn3c(c(C4CCCCC4)c4ccc(cc43)C(=O)NS(=O)(=O)N(C)CCOCCN(C)C2=O)-c2ccc(F)cc21,IC50=38nM,3.80E+01,-6.1,3.34E+04,
CHEMBL379796,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)cc1Cl)n2C1CCCCC1,IC50=350nM,3.50E+02,-6,3.95E+04,
CHEMBL203729,O=C(Cc1c[nH]c2ccccc12)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,IC50=200nM,2.00E+02,-6,3.95E+04,
CHEMBL411712,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCCCC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50=55590425.73nM,5.56E+07,-6,3.95E+04,
CHEMBL209031,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NCCc4ccccc4)ccc3N2)c(O)c2cccnc21,IC50=18nM,1.80E+01,-6,3.95E+04,
CHEMBL379184,CCOC(=O)COC(=O)NS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)NC(c1c(O)c3cccnc3n(CCC(C)C)c1=O)=N2,IC50=61nM,6.10E+01,-6,3.95E+04,
CHEMBL2043032,COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N2CCN(CCNC1=O)CC2,IC50=290nM,2.90E+02,-6,3.95E+04,
CHEMBL201034,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(OCc3ccccc3)ccc21,IC50=3950nM,3.95E+03,-6,3.95E+04,
CHEMBL201635,NCCCCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50>10000nM,1.00E+04,-6,3.95E+04,
CHEMBL2017864,O=C(O)/C=C/c1ccc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCCC5)c5n(c4c3)CC(=O)Nc3cccnc3-5)CCCC2)cc1,IC50=3100nM,3.10E+03,-6,3.95E+04,
CHEMBL383449,CCOC(=O)c1ccc2c(c1)c(O)c(C1=NS(=O)(=O)c3ccccc3N1)c(=O)n2CCC(C)C,IC50>10000nM,1.00E+04,-6,3.95E+04,
CHEMBL4633142,CC1COc2cc3c(-c4ccc[nH]c4=O)c(C(=O)NS(C)(=O)=O)n(Cc4cc(F)ccc4F)c3cc21,IC50=6nM,6.00E+00,-6,3.95E+04,
CHEMBL3651434,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5ccccn5)COC4)cc(F)c3C)c(F)c12,IC50=16nM,1.60E+01,-6,3.95E+04,
CHEMBL3938685,COc1ccc2c(c1)C1CC13Cn1c-2c(C2CCCCC2)c2ccc(cc21)C(=O)NS(=O)(=O)N(C)CCN1CCN(CC1)C3=O,IC50=220nM,2.20E+02,-6,3.95E+04,
CHEMBL411712,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCCCC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50=18nM,1.80E+01,-5.9,4.68E+04,
CHEMBL206022,O=C(O)c1ccc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCC3)cc2)cc1,IC50=6700nM,6.70E+03,-5.9,4.68E+04,
CHEMBL199535,CCOC(=O)c1c(NC(=O)NS(=O)(=O)N2CCN(C)CC2)sc2c1CCC(C)(C)C2,IC50=2000nM,2.00E+03,-5.9,4.68E+04,
CHEMBL213695,CC(=O)Nc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1,IC50=14nM,1.40E+01,-5.9,4.68E+04,
CHEMBL211213,CN(C)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=15885467.49nM,1.59E+07,-5.9,4.68E+04,
CHEMBL209006,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)N(C)C(=O)OCc4ccccc4)ccc3N2)c(O)c2cccnc21,IC50=121nM,1.21E+02,-5.9,4.68E+04,
CHEMBL210050,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NCc4ccccc4)ccc3N2)c(O)c2cccnc21,IC50=5.5nM,5.50E+00,-5.9,4.68E+04,
CHEMBL362243,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCC1=CCOC=C1,IC50=4630nM,4.63E+03,-5.9,4.68E+04,
CHEMBL355577,O=C(O)c1ccc2c(c1)nc(-c1ccc(-c3ccc(Cl)cc3)o1)n2C1CCCCC1,IC50>30000nM,3.00E+04,-5.9,4.68E+04,
CHEMBL211213,CN(C)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=63nM,6.30E+01,-5.9,4.68E+04,
CHEMBL204722,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3Cl)cc1)n2C1CCCC1,IC50=2300nM,2.30E+03,-5.9,4.68E+04,
CHEMBL379931,CC(=O)Nc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=22nM,2.20E+01,-5.9,4.68E+04,
CHEMBL1957270,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NC1CCCCC1,IC50=356nM,3.56E+02,-5.9,4.68E+04,
CHEMBL360365,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCc1ccco1,IC50=305nM,3.05E+02,-5.9,4.68E+04,
CHEMBL211649,COc1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1,IC50=100nM,1.00E+02,-5.9,4.68E+04,
CHEMBL213509,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(N)ccc3N2)c(O)c2cccnc21,IC50=23nM,2.30E+01,-5.9,4.68E+04,
CHEMBL4282695,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(NCC(F)(F)F)c(-c3cccc(C(=O)NC(C)(C)c4ncccn4)c3)cc12,IC50=50nM,5.00E+01,-5.9,4.68E+04,
CHEMBL201769,Cc1ccc2c(c1)c(O)c(C1=NS(=O)(=O)c3ccccc3N1)c(=O)n2CCC(C)C,IC50=47nM,4.70E+01,-5.9,4.68E+04,
CHEMBL377275,CCC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,IC50=65nM,6.50E+01,-5.9,4.68E+04,
CHEMBL1957270,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NC1CCCCC1,IC50=60nM,6.00E+01,-5.9,4.68E+04,
CHEMBL216865,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCN(CCc1ccccc1)c1ccccc1-3,IC50=26nM,2.60E+01,-5.9,4.68E+04,
CHEMBL201660,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1Cc1ccc(Br)cc1,IC50=95nM,9.50E+01,-5.9,4.68E+04,
CHEMBL440017,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc2n1CCc1ccccc1,IC50=1490nM,1.49E+03,-5.9,4.68E+04,
CHEMBL24396,COc1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=37nM,3.70E+01,-5.8,5.54E+04,
CHEMBL210297,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(N4CCCC4=O)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50=83368118.46nM,8.34E+07,-5.8,5.54E+04,
CHEMBL426830,O=C(O)C(=O)/C=C(\O)c1cc(O)cc(OCc2ccccc2)c1,IC50=1400nM,1.40E+03,-5.8,5.54E+04,
CHEMBL378727,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)Nc4ccc(C(=O)O)cc4)ccc3N2)c(O)c2cccnc21,IC50=20nM,2.00E+01,-5.8,5.54E+04,
CHEMBL204628,CC(C)(C)[C@H]1C(O)=C(C2=NS(=O)(=O)c3ccccc3N2)C(=O)N1Cc1ccccc1,IC50=22nM,2.20E+01,-5.8,5.54E+04,
CHEMBL361811,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCc1ccccc1Br,IC50=469nM,4.69E+02,-5.8,5.54E+04,
CHEMBL440992,O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CCN(Cc1ccccc1)c1ccccc1-3,IC50=41nM,4.10E+01,-5.8,5.54E+04,
CHEMBL378524,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ncccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50=150nM,1.50E+02,-5.8,5.54E+04,
CHEMBL362243,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc2n1NCC1=CCOC=C1,IC50=439nM,4.39E+02,-5.8,5.54E+04,
CHEMBL194678,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2cccc(Oc3ccccc3)c2)c1,IC50=50000nM,5.00E+04,-5.8,5.54E+04,
CHEMBL2375371,O=C(O)c1cc(Oc2ccccc2)ccc1NS(=O)(=O)c1ccc(Br)cc1F,IC50=52nM,5.20E+01,-5.8,5.54E+04,
CHEMBL209282,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(Cl)ccc3-c3cccnc3)cc1)n2C1CCCCC1,IC50=3451437.39nM,3.45E+06,-5.8,5.54E+04,
CHEMBL2092824,CC(C)(C)[C@H]1CC[C@H](N(C(=O)c2ccc(Oc3ccccc3)cc2)c2ncc(C(=O)O)s2)CC1,IC50=3400nM,3.40E+03,-5.8,5.54E+04,
CHEMBL368589,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCC(O)CC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1,IC50<6nM,6.00E+00,-5.8,5.54E+04,
CHEMBL377240,O=c1c(C2=NS(=O)(=O)c3cc(Br)ccc3N2)c(O)c2cccnc2n1Cc1ccccc1,IC50=16750nM,1.68E+04,-5.8,5.54E+04,
CHEMBL378524,O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ncccc3-c3ccc(Cl)cc3)cc1)n2C1CCCCC1,IC50=150nM,1.50E+02,-5.8,5.54E+04,
CHEMBL376688,CN(C)C(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1,IC50=66680676.92nM,6.67E+07,-5.8,5.54E+04,
CHEMBL211130,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)NCc4cccc([N+](=O)[O-])c4)ccc3N2)c(O)c2cccnc21,IC50=13nM,1.30E+01,-5.8,5.54E+04,
