Molecule,Smiles,IC50,affinity(kcal/mol),rmsd l.b.,rmsd u.b.
CHEMBL353549,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,19,-10.4,1.838,6.514
CHEMBL353549,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,19,-10.3,0.829,2.044
CHEMBL353549,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,19,-10.3,2.024,6.487
CHEMBL353549,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,19,-9.5,1.862,3.034
CHEMBL353549,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,19,-8.4,3.06,6.504
CHEMBL353549,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1,19,-8.4,1.935,3.545
CHEMBL202317,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(F)ccc21,20,-9.9,0,0
CHEMBL202317,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(F)ccc21,20,-9.8,1.813,3.874
CHEMBL202317,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(F)ccc21,20,-9,3.342,7.492
CHEMBL202317,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(F)ccc21,20,-8.9,3.324,7.784
CHEMBL202317,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(F)ccc21,20,-8.2,3.696,8.632
CHEMBL202317,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(F)ccc21,20,-7.3,2.322,4.461
CHEMBL425221,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(NCC(=O)O)ccc21,21,-6,0,0
CHEMBL425221,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(NCC(=O)O)ccc21,21,-5,3.295,9.132
CHEMBL425221,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(NCC(=O)O)ccc21,21,-3.5,3.056,8.996
CHEMBL425221,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cc(NCC(=O)O)ccc21,21,-3.4,1.314,1.991
CHEMBL202405,CC(C)(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,21,-9.6,0,0
