NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
66,9,-6.8,2.654,5.055,1.146476005
67,1,-7.9,0,0,1.410858731
67,2,-7.8,4.22,7.013,1.480067315
67,3,-7.7,4.295,7.199,1.526583926
67,4,-7.6,3.726,5.933,1.078427567
67,5,-7.5,4.253,6.663,1.113403868
67,6,-7.4,3.853,6.07,1.241605018
67,7,-7.3,4.098,7.124,1.279051704
67,8,-7,4.006,6.586,0.836341711
67,9,-7,4.233,6.491,0.926826773
68,1,-8.8,0,0,1.144195694
68,2,-8.6,0.796,1.697,1.363971811
68,3,-8.6,2.618,5.031,1.497786962
68,4,-8.2,2.301,4.869,1.213194818
68,5,-7.8,1.807,2.642,1.307768285
68,6,-7.6,3.989,6.848,1.173878716
68,7,-7.4,3.501,5.742,1.118068735
68,8,-7.3,4.13,7.008,1.481422945
68,9,-7.2,4.131,6.813,1.372023243
69,1,-8.9,0,0,1.631922461
69,2,-8.8,1.346,1.735,1.447782602
69,3,-8.7,2.312,5.382,1.262053389
69,4,-8.5,1.803,5.53,1.581391737
