NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
46,8,-7.3,4.922,7.232,1.400862767
46,9,-7.3,4.249,7.087,1.222278094
47,1,-9,0,0,1.107999614
47,2,-8.3,0.822,1.495,0.908313632
47,3,-8.3,3.637,6.15,1.354012295
47,4,-8.1,2.76,5.617,1.111851098
47,5,-7.8,4.387,6.612,1.426391805
47,6,-7.7,3.804,6.299,1.40316356
47,7,-7.6,4.184,5.597,0.977206289
47,8,-7.6,2.265,2.855,0.992230771
47,9,-7.4,4.041,6.096,1.305599535
48,1,-8.2,0,0,1.337939427
48,2,-7.8,4.384,7.552,1.02149802
48,3,-7.4,4.496,7.514,1.345456684
48,4,-7.1,4.482,7.979,1.052219344
48,5,-7,2.35,3.53,1.350118189
48,6,-7,2.693,4.921,1.604175758
48,7,-6.9,4.652,7.854,1.039846944
48,8,-6.8,2.582,3.794,1.107608911
48,9,-6.8,2.438,3.699,1.053688279
49,1,-8.6,0,0,1.183838087
49,2,-8.3,4.006,6.093,1.008920768
49,3,-7.8,1.829,4.803,1.335487496
49,4,-7.4,2.295,5.162,1.283963151
49,5,-7.4,4.289,6.604,1.373298181
49,6,-7.1,1.798,2.433,1.284025059
49,7,-7,4.137,5.593,0.727550635
49,8,-6.9,4.267,6.699,0.994837153
49,9,-6.9,2.425,5.32,1.498087961
50,1,-8.1,0,0,1.113736176
50,2,-7.9,3.845,5.908,1.109327706
50,3,-7.6,1.906,4.767,1.203397505
50,4,-7.3,2.159,4.671,1.25833673
50,5,-7.2,2.089,4.911,1.167694416
50,6,-7,3.369,5.982,1.227403839
50,7,-7,4.081,6.105,0.542586272
50,8,-6.8,2.623,3.509,1.151470864
50,9,-6.7,4.164,6.371,1.435560345
51,1,-8.5,0,0,1.030250198
51,2,-8.3,3.927,6.015,1.09621093
51,3,-8.1,0.966,1.395,1.185491342
51,4,-7.4,1.977,4.931,1.397697833
51,5,-7.4,4.307,6.602,1.478211723
51,6,-7,4.497,6.496,0.775852715
51,7,-7,4.07,5.428,0.891548155
51,8,-7,4.053,6.978,1.340697192
51,9,-6.9,1.93,2.625,1.251184722
52,1,-8.1,0,0,1.626847291
52,2,-7.9,3.29,4.759,1.05019325
52,3,-7.7,3.93,6.8,0.931046148
52,4,-7.7,1.154,1.543,1.361012426
52,5,-7.6,2.183,3.095,1.342229459
52,6,-7.5,1.991,5.198,1.443165318
52,7,-7.5,3.993,6.901,0.913296718
52,8,-7.5,1.102,1.782,1.279460748
52,9,-7.4,2.615,3.585,1.356077628
53,1,-9.2,0,0,1.298073806
53,2,-9.2,2.263,5.172,1.249353336
53,3,-9,1.636,5.446,1.33163812
53,4,-8.8,2.371,5.296,1.258607684
53,5,-8.7,2.443,5.046,1.271952701
53,6,-8.7,4.418,7.109,1.167446967
53,7,-8.3,3.468,6.506,1.508219077
53,8,-8.3,1.748,2.325,1.456494465
53,9,-8.1,3.504,6.461,1.528546032
54,1,-8,0,0,1.368251467
54,2,-7.7,1.694,2.273,1.303310104
54,3,-7.7,1.909,2.632,1.195600785
54,4,-7.7,3.934,5.97,1.039276459
54,5,-7.6,3.646,5.061,1.020268329
54,6,-7.4,3.733,4.957,1.030350601
54,7,-7.3,3.875,5.589,1.038949587
54,8,-7.2,1.518,2.004,1.344370755
54,9,-7.2,2.39,3.72,1.242719278
55,1,-7.5,0,0,1.151482399
55,2,-7.4,3.394,6.161,1.398485408
55,3,-7.4,1.356,1.602,1.131841609
55,4,-7.4,3.829,6.868,1.493580081
55,5,-7.1,1.732,4.571,1.408501423
55,6,-7.1,3.139,5.194,1.377761516
55,7,-7,3.572,6.373,1.355572125
55,8,-6.9,4.114,6.675,1.348471345
55,9,-6.9,2.121,4.581,1.482299009
56,1,-7.9,0,0,1.23502852
56,2,-7.8,2.824,5.225,1.240260672
56,3,-7.4,4.714,7.61,1.563967445
56,4,-7.3,1.685,2.708,1.507065062
56,5,-6.9,4.688,7.586,1.337075632
56,6,-6.9,4.49,7.331,1.748071208
56,7,-6.8,3.217,5.194,1.121481529
56,8,-6.6,2.638,5.381,1.425557596
56,9,-6.6,2.911,5.16,1.17769402
57,1,-8.1,0,0,1.555552918
57,2,-8.1,4.329,7.232,1.280345309
57,3,-8.1,3.499,5.096,1.137662825
57,4,-7.7,3.085,5.907,1.005443456
57,5,-7.6,4.685,7.39,1.395464421
57,6,-7.5,2.556,4.733,1.309370867
57,7,-7.4,4.421,7.351,1.401227579
57,8,-7.4,4.445,7.148,1.04156718
57,9,-7.3,1.178,2.076,1.284952624
58,1,-9.1,0,0,1.249272915
58,2,-8.8,1.267,1.945,1.381686301
58,3,-8.7,2.053,5.427,0.909289205
58,4,-8.6,4.111,6.809,1.232149007
58,5,-8.6,1.338,1.817,1.133252982
58,6,-8.5,1.544,2.102,1.022435794
58,7,-8.4,3.49,6.191,1.604472454
58,8,-8.2,3.97,6.59,1.448078621
58,9,-8.1,2.196,5.817,1.662907556
59,1,-9,0,0,1.102010853
59,2,-8.3,3.643,6.164,1.354310098
59,3,-8.2,2.743,5.578,1.110779545
59,4,-8,1.692,2.544,0.832110608
59,5,-8,2.617,5.005,1.522474963
59,6,-7.6,4.256,6.557,1.130120459
59,7,-7.2,3.339,6.194,1.128749294
59,8,-7.1,4.173,6.573,1.399273838
59,9,-6.9,4.175,6.664,1.455459166
60,1,-8.2,0,0,1.620594377
60,2,-8.1,3.303,4.691,1.188040621
