NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
29,7,-6.4,2.313,5.412,1.220408313
29,8,-6.3,2.815,5.431,1.456978117
29,9,-6.3,2.503,3.498,0.938352345
30,1,-7.9,0,0,0.945512253
30,2,-7.8,1.678,2.118,1.144472118
30,3,-7.7,3.926,5.922,0.606592369
30,4,-7.4,2.469,3.583,1.341230362
30,5,-7.4,2.108,4.907,1.24476315
30,6,-7.2,3.688,5.938,1.048581253
30,7,-7,4.201,6.287,1.35811596
30,8,-6.9,3.334,5.643,1.333456876
30,9,-6.9,4.175,7.236,1.422969131
31,1,-7.4,0,0,1.103359989
31,2,-7,3.754,6.602,1.671145524
31,3,-7,1.463,1.938,1.037906608
31,4,-7,3.714,6.357,1.120200753
31,5,-6.9,3.762,6.033,0.921752988
31,6,-6.8,2.254,4.491,1.175623693
31,7,-6.6,3.601,6.011,1.22699829
31,8,-6.6,2.422,4.854,0.679341819
31,9,-6.6,2.631,3.858,0.981856669
32,1,-7.9,0,0,0.955846868
32,2,-7.9,1.66,2.114,1.14253408
32,3,-7.7,3.938,5.915,0.611023656
32,4,-7.4,2.091,4.88,1.248693922
32,5,-7.2,3.658,5.934,1.054094633
32,6,-7.2,4.61,6.326,0.692578888
32,7,-7,5.011,7.14,1.372046371
32,8,-6.9,3.303,5.637,1.227368284
32,9,-6.7,4.324,7.222,1.568903296
33,1,-8.1,0,0,1.004471306
33,2,-7.7,1.667,2.184,0.989028742
33,3,-7.4,3.643,5.775,1.218572334
33,4,-7.3,3.995,5.911,0.831230653
33,5,-7.3,2.362,4.842,1.20241856
33,6,-7.1,4.847,7.002,1.374690681
33,7,-6.8,4.421,7.316,1.334223019
33,8,-6.6,4.021,6.192,0.786432956
33,9,-6.5,4.291,6.38,1.284305291
34,1,-8.2,0,0,1.372288186
34,2,-7.8,1.44,1.779,1.153160757
34,3,-7.7,4.478,6.573,1.125391925
34,4,-7.7,4.841,7.163,1.477176045
34,5,-7.4,3.967,6.206,1.42317293
34,6,-7.4,4.49,7.052,1.396327084
34,7,-7.1,2.059,2.785,1.042231081
34,8,-7.1,2.853,5.131,1.138160624
34,9,-6.9,3.191,4.116,0.976958975
35,1,-6.8,0,0,1.303983644
35,2,-6.8,2.059,4.957,1.193944163
35,3,-6.7,2.264,5.462,1.549066178
35,4,-6.6,2.387,6.031,1.292835441
35,5,-6.4,2.213,6.063,1.490012478
35,6,-6.4,2.109,3.006,1.197172732
35,7,-6.4,1.829,5.15,1.226429829
35,8,-6.3,2.447,6.059,1.384437999
35,9,-6.3,2.397,5.543,1.108625314
36,1,-7.9,0,0,0.955848635
36,2,-7.8,1.659,2.242,1.143852758
36,3,-7.7,3.926,5.906,0.617793068
36,4,-7.4,4.058,5.881,0.725777335
36,5,-7.3,2.137,4.877,1.248771237
36,6,-7.2,3.632,5.887,1.062839525
36,7,-7.1,3.562,5.904,1.50941425
36,8,-6.9,3.783,6.287,1.318352586
36,9,-6.8,4.7,6.872,1.362785818
37,1,-7.7,0,0,1.47295418
37,2,-7.5,1.208,1.785,1.207517454
37,3,-7.4,4.046,7.17,1.232467867
37,4,-7.3,3.097,5.693,1.229807209
37,5,-7.3,3.975,6.919,0.946778323
37,6,-7.2,4.33,6.809,1.224365908
37,7,-7.2,4.192,6.443,1.222953868
37,8,-7,4.202,6.991,0.792117076
37,9,-6.9,4.035,7.337,0.898871546
38,1,-7.5,0,0,1.479823597
38,2,-7.4,4.099,7.472,1.455183491
38,3,-7.4,2.892,5.345,1.516629565
38,4,-7.3,3.949,6.391,1.400922636
38,5,-7.3,3.077,6.374,1.310827575
38,6,-7.2,3.855,6.972,1.092331317
38,7,-7.2,4.263,6.66,1.490968083
38,8,-7.1,4.116,7.346,1.034035494
38,9,-6.9,4.19,6.81,1.341717872
39,1,-7.9,0,0,1.341570113
39,2,-7.7,4.336,7.08,1.374972977
39,3,-7.6,4.352,7.202,1.07851105
39,4,-7.5,4.425,7.187,1.320616984
39,5,-7.3,4.373,7.444,1.454941691
39,6,-7.2,4.136,6.508,1.098596451
39,7,-7.2,4.672,7.454,1.131153198
39,8,-7.1,3.609,5.887,1.425832334
39,9,-7,4.425,7.199,1.30441434
40,1,-8,0,0,0.837765794
40,2,-7.8,3.647,6.164,1.258010862
40,3,-7.6,2.748,5.203,1.110535557
40,4,-7.5,1.693,2.246,0.984178238
40,5,-7.3,3.691,5.729,1.118119867
40,6,-7.1,4.173,6.335,0.995529741
40,7,-7.1,2.39,2.985,0.736475145
40,8,-6.9,4.27,7.154,1.053841082
40,9,-6.9,3.595,4.798,1.199755594
41,1,-8.1,0,0,1.385786633
41,2,-7.9,4.247,6.539,1.081996296
41,3,-7.8,3.182,5.292,1.125259932
41,4,-7.6,2.132,5.185,1.367001619
41,5,-7.6,4.257,6.42,1.225832235
41,6,-7.6,3.988,5.499,1.276122945
41,7,-7.5,3.428,6.387,1.130775965
41,8,-7.5,4.201,7.442,1.303664853
41,9,-7.4,1.753,2.179,1.251346293
42,1,-7.8,0,0,1.30748357
42,2,-7.5,3.12,4.315,1.361772583
42,3,-7.5,1.773,4.657,0.865437005
42,4,-7.5,3.633,5.687,0.996428024
42,5,-7.3,3.418,5.118,1.355513139
42,6,-7.1,4.163,6.608,0.848954952
42,7,-7,4.329,6.814,0.735342808
42,8,-7,3.958,6.393,0.870316784
42,9,-7,3.504,4.94,0.99742292
43,1,-7.8,0,0,1.430302729
43,2,-7.5,1.245,1.705,1.399144629
43,3,-7.4,3.405,5.044,1.421080598
43,4,-7.4,4.295,6.745,1.32269674
43,5,-7.3,4.096,7.238,1.199300481
43,6,-7.2,3.972,6.962,1.062626453
43,7,-7.1,3.07,5.734,1.200062969
43,8,-7.1,4.231,6.772,1.395957835
43,9,-7.1,3.078,6.237,1.070289852
44,1,-7.7,0,0,1.547529693
44,2,-7.4,1.206,1.541,1.287258731
44,3,-7.3,3.937,7.029,1.137893274
44,4,-7.2,2.893,5.381,1.478370985
44,5,-7.1,3.053,6.321,1.561710051
44,6,-7.1,4.144,7.363,1.193796622
44,7,-7,4.278,6.92,1.39669372
44,8,-6.9,4.198,6.597,1.278875896
44,9,-6.7,4.121,7.447,1.229837055
45,1,-7.5,0,0,1.450184186
45,2,-7.1,0.982,1.363,1.341097652
45,3,-7.1,4.22,7.397,1.289512256
45,4,-7,4.353,6.808,1.371405187
45,5,-7,4.25,7.194,1.074288796
45,6,-6.9,4.147,7.044,0.976680614
45,7,-6.8,3.205,6.256,1.437914761
45,8,-6.8,4.029,6.511,1.022896964
45,9,-6.6,4.511,6.962,1.200899373
46,1,-8.7,0,0,0.951725032
46,2,-7.9,4.694,6.709,1.352919741
46,3,-7.8,4.174,7.031,1.173950639
46,4,-7.5,3.553,4.866,1.185221509
46,5,-7.4,4.231,5.792,1.339844872
46,6,-7.4,3.049,4.856,1.378138711
46,7,-7.3,1.445,2.16,1.194967039
46,8,-7.3,3.529,6.127,1.230598157
46,9,-7.2,3.531,6.149,1.250345446
47,1,-8,0,0,0.836129832
47,2,-8,1.278,1.453,0.704845873
47,3,-7.8,3.637,6.128,1.25776229
47,4,-7.5,2.777,5.358,1.117965959
47,5,-7.4,1.671,2.228,1.003790448
47,6,-7.3,3.683,5.657,1.107947403
47,7,-7.1,4.151,6.549,1.340547896
47,8,-7.1,4.151,6.291,0.881495096
47,9,-7,3.507,4.677,1.441639512
48,1,-8.2,0,0,0.970486597
48,2,-7.9,4.457,6.697,1.366387272
48,3,-7.6,4.398,7.314,0.972679046
48,4,-7.3,4.506,6.101,1.250347949
48,5,-7.2,3.297,5.914,1.175258809
48,6,-7.1,4.558,7.486,1.158411028
48,7,-7,3.733,6.455,1.114616917
48,8,-7,2.342,5.553,1.303519513
48,9,-6.9,5.343,8.296,1.017509838
49,1,-8,0,0,0.971513472
49,2,-7.8,1.636,2.187,1.142891899
49,3,-7.7,3.958,5.947,0.613057782
49,4,-7.4,2.08,4.932,1.233026845
49,5,-7.2,3.656,5.91,1.060451026
49,6,-7,3.009,4.095,1.177768901
49,7,-6.9,3.842,6.398,1.298075428
49,8,-6.7,4.678,7.062,1.22891123
49,9,-6.6,2.053,3.661,1.130491744
50,1,-8,0,0,1.023850411
50,2,-7.7,1.639,2.074,1.010859741
50,3,-7.3,3.628,5.791,1.222204311
50,4,-7.2,2.37,4.865,1.1728279
50,5,-7.1,2.068,4.788,1.33672104
50,6,-6.7,3.082,3.967,1.120893972
50,7,-6.7,4.349,7.249,1.335448519
50,8,-6.6,4.997,7.121,1.378396703
50,9,-6.6,3.852,6.382,1.524815034
51,1,-8,0,0,0.796072777
51,2,-7.9,1.577,2.032,1.008380459
