NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
49,2,-7.9,2.082,2.921,1.154062256
49,3,-7.9,1.871,5.064,0.554555886
49,4,-7.4,3.851,5.922,1.477955525
49,5,-7.4,4.247,6.567,1.3412468
49,6,-7.1,3.633,5.692,0.769987225
49,7,-7.1,2.031,4.765,1.106364345
49,8,-6.8,3.948,6.358,1.209051833
49,9,-6.7,2.233,3.222,1.117295136
50,1,-8.6,0,0,1.080711298
50,2,-7.8,1.922,4.784,0.83021325
50,3,-7.4,4.358,6.692,1.437513459
50,4,-7.4,2.017,4.832,1.12944476
50,5,-7.3,3.835,5.159,1.383443065
50,6,-7.1,3.512,6.174,0.923143841
50,7,-6.8,4.177,6.613,1.16710325
50,8,-6.5,2.091,2.693,1.128715069
50,9,-6.4,3.89,6.436,1.186946901
51,1,-8.7,0,0,1.096275166
51,2,-7.8,1.877,4.959,0.916271985
51,3,-7.3,4.149,6.365,1.254295403
51,4,-7.1,1.923,4.731,0.757472251
51,5,-7,3.84,5.11,1.34114494
51,6,-6.9,3.689,6.045,1.334677928
51,7,-6.5,4.431,6.113,1.293594457
51,8,-6.4,4.916,7.205,1.084293344
51,9,-6.3,3.804,6.171,0.927214125
52,1,-8,0,0,1.116246739
52,2,-7.8,0.898,1.765,1.303109189
52,3,-7.3,3.913,6.819,1.109204394
52,4,-7.3,4.173,6.735,1.477631716
52,5,-7.1,3.719,5.746,1.47111724
52,6,-7.1,4.187,7.124,1.55911144
52,7,-7.1,3.868,6.84,0.874814456
52,8,-6.9,3.948,5.824,1.350379761
52,9,-6.8,2.738,5.11,1.062086061
53,1,-9.1,0,0,1.312034042
53,2,-8.9,2.135,5.233,1.268340612
53,3,-8.4,3.302,6.025,1.411033765
53,4,-8.3,2.044,5.479,1.400390427
53,5,-8.3,3.703,6.146,1.150924028
53,6,-8.3,2.545,5.097,1.069565617
53,7,-8.2,3.774,7.152,1.460561366
53,8,-7.8,4.038,7.147,1.308008782
53,9,-7.7,1.071,2.02,1.2952244
54,1,-8.7,0,0,1.425031901
54,2,-8.2,1.83,2.366,1.073730222
54,3,-7.9,1.986,4.116,0.913825054
54,4,-7.9,3.783,5.203,1.065328823
54,5,-7.8,4.018,6.097,1.127294
54,6,-7.7,3.547,5.18,1.189305811
54,7,-7.6,3.072,5.882,1.077288586
54,8,-7.4,1.282,2.004,0.81184052
54,9,-7.3,1.962,2.471,1.377994757
55,1,-8,0,0,1.097376311
55,2,-7.8,3.642,5.66,1.373708208
55,3,-7.6,3.974,7.161,1.222736641
55,4,-7.5,4.174,6.878,1.427444561
55,5,-7.5,3.972,7.016,1.414981681
55,6,-7.1,2.542,5.853,1.272716505
55,7,-7.1,4.079,6.242,1.236730233
55,8,-7.1,3.15,5.278,1.190360132
55,9,-6.9,4.393,6.99,1.425781249
56,1,-8.1,0,0,1.805890643
56,2,-7.6,2.814,5.426,1.528983529
56,3,-7.5,2.807,4.122,1.367877684
56,4,-7.5,3.189,5.455,1.57632554
56,5,-7.3,1.901,4.924,1.731943006
56,6,-7.2,2.511,4.233,1.317068676
56,7,-7,2.232,3.568,1.59756627
56,8,-7,3.909,6.792,0.973359734
56,9,-6.9,2.32,5.369,1.773080866
57,1,-8.1,0,0,1.144463298
57,2,-7.7,3.635,5.627,1.320511984
57,3,-7.6,4.293,7.039,1.326031279
57,4,-7.5,4.293,7.445,1.538320898
57,5,-7.5,3.131,5.717,1.413048223
57,6,-7.4,4.326,7.266,1.158693823
57,7,-7.4,3.07,6.279,1.299962265
57,8,-7.1,4.462,7.049,1.409149218
57,9,-7.1,3.202,5.627,1.216617882
58,1,-9.3,0,0,1.328709825
58,2,-8.9,1.484,1.897,1.678755246
58,3,-8.7,2.28,5.652,1.568238184
58,4,-8.7,3.857,6.487,1.27304959
58,5,-8.5,1.989,4.576,1.134203172
58,6,-8.4,4.011,6.782,1.29426853
58,7,-8.4,3.64,6.422,1.284904954
58,8,-8.4,3.495,6.3,1.171093602
58,9,-8.4,3.786,7.212,1.551956702
59,1,-9.1,0,0,1.195540408
59,2,-8.2,2.578,5.178,1.24668594
59,3,-8.1,0.62,1.118,1.303207151
59,4,-8.1,3.44,6.077,0.857426695
59,5,-8,2.556,5.258,1.248703467
59,6,-8,2.567,5.411,1.288547372
59,7,-7.4,4.201,6.706,0.99903667
59,8,-7.3,4.109,6.18,1.140017938
59,9,-7.2,3.963,6.372,0.875290584
60,1,-8.1,0,0,1.397071168
60,2,-7.9,4.145,6.688,1.396468902
60,3,-7.8,3.334,5.43,1.255604016
60,4,-7.7,3.791,5.626,1.428731794
60,5,-7.6,3.986,6.945,0.712320381
60,6,-7.5,1.264,1.994,1.389592894
60,7,-7.4,2.016,2.605,1.533360017
60,8,-7.2,4.153,6.694,1.52171502
60,9,-7.2,4.131,6.824,0.773167998
61,1,-7.9,0,0,1.266222149
61,2,-7.9,3.645,5.646,1.432824911
61,3,-7.6,3.951,7.136,1.235303235
61,4,-7.5,4.093,6.474,1.527983581
61,5,-7.4,1.202,1.562,1.297502166
61,6,-7.4,3.938,6.942,1.139026811
61,7,-7.3,4.02,7.104,1.182074305
61,8,-7.3,3.816,6.863,0.972685908
