NO.Compounds,No.conformation,affinity(kcal/mol),rmsd l.b.,rmsd u.b.,rmsd_from_initial
29,2,-7.2,2.111,4.708,1.220577523
29,3,-6.7,1.831,3.223,1.267990024
29,4,-6.7,2.581,6.02,1.203581197
29,5,-6.5,2.414,5.377,1.41335391
29,6,-6.4,2.383,5.714,0.937009855
29,7,-6.4,2.223,3.549,1.32966122
29,8,-6.3,2.503,5.881,1.041240016
29,9,-6.3,2.869,5.402,0.756548112
30,1,-8.1,0,0,0.958161508
30,2,-7.9,3.766,5.781,1.464742701
30,3,-7.6,1.35,1.8,1.114272039
30,4,-7.4,1.892,4.837,0.942085709
30,5,-6.8,2.012,4.831,1.009609121
30,6,-6.7,2.07,5.157,0.799923997
30,7,-6.7,3.756,5.808,1.273200308
30,8,-6.5,3.207,5.9,1.065824569
30,9,-6.4,3.726,5.118,1.447982652
31,1,-7.6,0,0,1.057257402
31,2,-7.3,3.427,5.763,1.015326527
31,3,-7.2,3.406,5.813,1.278158112
31,4,-7.1,1.291,1.924,1.032902235
31,5,-6.9,3.498,6.33,1.225956342
31,6,-6.7,2.12,4.446,1.421789767
31,7,-6.7,2.954,4.731,0.537461369
31,8,-6.7,3.278,5.693,0.987660241
31,9,-6.4,3.858,6.147,1.035570018
32,1,-8.1,0,0,0.963896101
32,2,-7.9,3.766,5.786,1.469430763
32,3,-7.4,2.207,5.017,1.12285874
32,4,-7.3,4.277,6.486,1.624153018
32,5,-7.3,1.916,4.865,0.906131697
32,6,-6.8,4.965,7.462,1.360699907
32,7,-6.7,3.786,5.85,1.366785335
32,8,-6.6,2.094,5.178,0.875539487
32,9,-6.5,4.007,5.733,1.438029438
33,1,-7.9,0,0,1.104340416
33,2,-7.8,3.812,5.773,1.40331541
33,3,-7.5,1.937,4.846,0.865765859
33,4,-7.2,2.223,4.991,1.360198183
33,5,-7.1,1.416,2.018,1.388657522
33,6,-6.9,4.989,7.442,1.272911327
33,7,-6.9,1.67,2.433,1.101092533
33,8,-6.8,2.176,5.121,0.891750146
33,9,-6.7,4.02,5.651,1.330377964
34,1,-8.2,0,0,1.290395619
34,2,-8,2.912,5.471,1.33384471
34,3,-8,4.196,6.431,1.447778546
34,4,-7.4,2.499,5.027,1.39347441
34,5,-7.4,4.272,6.908,1.42591198
34,6,-7.2,4.471,6.688,1.214966524
34,7,-7.1,2.95,5.26,1.525655054
34,8,-7,4.185,6.883,1.120618153
34,9,-6.9,1.967,4.404,1.489847938
35,1,-7.3,0,0,1.55728345
35,2,-7.2,2.116,4.719,1.222896205
35,3,-6.7,1.825,3.249,1.266658281
35,4,-6.6,2.306,5.743,0.567954522
35,5,-6.3,2.423,5.407,0.683374937
35,6,-6.3,2.328,5.657,0.48825288
35,7,-6.3,2.483,5.892,1.05584867
35,8,-6.3,2.036,3.048,1.437865026
35,9,-6.3,2.23,4.998,1.424016827
36,1,-8.1,0,0,0.956940852
36,2,-7.9,3.755,5.783,1.46382336
36,3,-7.5,1.856,4.895,0.872112052
36,4,-7.3,1.307,1.812,1.128921163
36,5,-7.3,1.941,4.873,0.9027443
36,6,-6.9,3.53,5.55,0.782266057
36,7,-6.9,3.583,6.13,1.196871498
36,8,-6.8,4.968,7.475,1.374963574
36,9,-6.8,1.873,2.645,0.969477754
37,1,-8.1,0,0,1.221656181
37,2,-7.4,1.225,2.009,1.338128819
37,3,-7.3,3.381,4.845,1.563889826
37,4,-7.2,3.852,5.793,1.367343947
37,5,-7.2,4,6.935,1.178179901
37,6,-7.1,3.973,6.843,1.110221577
37,7,-7.1,2.242,4.947,1.268409822
37,8,-7,4.301,6.927,1.418979877
37,9,-7,4.163,7.297,1.562003933
38,1,-7.9,0,0,1.323713606
38,2,-7.6,3.938,6.991,1.23386835
38,3,-7.6,3.84,6.761,1.283695111
38,4,-7.4,3.984,6.301,1.43765345
38,5,-7.3,4.326,7.137,1.534471025
38,6,-7,3.691,5.277,1.315804233
38,7,-6.9,3.867,6.099,1.034485052
38,8,-6.9,2.812,3.849,1.520239115
38,9,-6.8,3.016,4.39,1.621636603
39,1,-8.1,0,0,1.199214736
39,2,-7.7,4.278,7.147,1.076526186
39,3,-7.5,4.344,7.075,1.587949796
39,4,-7.4,4.654,7.286,1.471144281
39,5,-7,3.05,6.07,0.887785415
39,6,-7,4.603,7.478,1.307233168
39,7,-6.9,1.191,2.073,1.258291276
39,8,-6.8,4.379,7.237,1.054615028
39,9,-6.8,3.104,5.472,1.041087248
40,1,-7.9,0,0,0.987524441
40,2,-7.7,4.227,6.623,1.268983315
40,3,-7.5,2.547,5.503,1.660719688
40,4,-7.4,3.911,6.306,0.893586187
40,5,-7.3,3.226,5.765,0.980004391
40,6,-6.9,4.028,6.536,1.32260363
40,7,-6.8,4.227,7.045,1.113436561
40,8,-6.7,4.835,7.104,1.512531265
40,9,-6.6,4.715,7.087,1.142826288
41,1,-8.8,0,0,1.118448643
41,2,-8.4,4.155,6.814,0.875098142
41,3,-7.8,3.004,5.765,1.20626864
41,4,-7.4,2.606,5.761,1.57686587
41,5,-7.4,2.096,4.962,1.116059368
41,6,-7.4,4.134,7.349,1.453172173
41,7,-7.3,4.147,7.27,1.134989807
41,8,-7,4.772,7.466,1.406829913
41,9,-6.8,4.889,7.182,1.218297571
42,1,-7.7,0,0,1.126446482
42,2,-7.7,3.36,4.866,1.547432641
42,3,-7.5,3.631,5.743,0.899841818
42,4,-7.2,3.511,4.932,0.886223822
42,5,-7.1,4.048,5.684,0.49610115
42,6,-7.1,4.314,6.82,0.989336709
42,7,-7.1,3.613,6.41,1.117743555
42,8,-6.8,4.346,6.733,1.165860331
42,9,-6.7,3.805,5.688,1.049661576
43,1,-8,0,0,1.315373155
43,2,-7.6,1.208,1.729,1.057229316
43,3,-7.5,4.197,6.583,1.384654258
43,4,-7.2,3.953,6.958,1.14618849
43,5,-7.2,3.888,5.875,1.346880047
43,6,-6.9,3.823,6.546,1.170879426
43,7,-6.9,4.021,6.867,1.14830681
